case_id,time_ms,chamber_pressure_bar,chamber_temperature_K,injection_pressure_bar,density_kg_m3,viscosity_Pa_s,injection_temperature_K,angle_shadow_deg,angle_shadow_smoothed_deg,angle_mie_deg,angle_mie_smoothed_deg,penetration_shadow_mm,penetration_shadow_ld,penetration_mie_mm,penetration_mie_ld
ETH-03,0.375,55.03054999999999,290.58476562499993,100.11546875000002,810.7201340846409,0.0018787131331749099,273.0,17.956490384615385,17.098760453652858,13.193749999999998,13.047650094798762,14.903985964285715,69.97176509054326,15.753116125,73.95829166666667
ETH-03,0.4,55.0413,290.646815625,100.14877187500002,810.7209437672745,0.00187872372667194,273.0,17.031666666666663,17.188239039561033,13.299999999999994,13.007329256198831,15.507886000000001,72.8069765258216,16.29904509375,76.52133846830986
ETH-03,0.42500000000000004,55.04585,290.591609375,100.13450312500001,810.7212864676635,0.00187872821041467,273.0,18.152291666666663,17.2720817216894,12.9101814516129,12.981285611135734,16.017181129032256,75.198033469635,16.874168125,79.22144659624414
ETH-03,0.45,55.04489999999999,290.62970624999997,100.153534375,810.7212149149574,0.0018787272742494124,273.0,18.116834677419355,17.29363892592751,13.029032258064515,12.958315080578947,16.593905125,77.90565786384977,17.335434312500002,81.3870155516432
ETH-03,0.47500000000000003,55.03895,290.5979968749999,100.058396875,810.7207667675906,0.001878721410888868,273.0,18.12375,17.32146184259418,13.174798387096772,12.955228243021343,17.078526562500002,80.1808758802817,17.811297531250002,83.6211151701878
ETH-03,0.5,55.0456,290.6459031249999,100.09644687500001,810.7212676380097,0.001878727964055424,273.0,17.590656284760847,17.434058303940116,13.031249999999996,12.9086254204407,17.551470375,82.40126936619718,18.24336965625,85.64962279929577
ETH-03,0.525,55.048649999999995,290.65046562500004,100.05363437500002,810.7214973594739,0.0018787309696360983,273.0,17.346162402669634,17.553251852327215,12.645060483870965,12.893479598694316,17.974784281250002,84.38865859741786,18.75718515625,88.06190214201878
ETH-03,0.55,55.050450000000005,290.6465875,100.09168125000002,810.7216329324859,0.00187873274341937,273.0,18.43548387096774,17.680288889364252,12.803124999999998,12.830594182027648,18.43605046875,86.55422755281691,19.151305,89.91223004694837
ETH-03,0.5750000000000001,55.05330000000001,290.6812625,100.144021875,810.721847589276,0.0018787355519063564,273.0,18.663810483870968,17.75642060979436,12.734374999999996,12.789624759984637,18.841847937500003,88.45937998826292,19.59505475,91.99556220657277
ETH-03,0.6000000000000001,55.050999999999995,290.67441875,100.177321875,810.721674357525,0.0018787332854083773,273.0,18.362499999999997,17.867284069193694,12.428124999999998,12.752002352150535,19.244726,90.35082629107981,19.99501340625,93.87330237676056
ETH-03,0.625,55.051850000000016,290.6367781249999,100.21061874999998,810.7217383779997,0.001878734123027497,273.0,18.709374999999998,17.924929902527023,12.321874999999999,12.701061827956988,19.62716821875,92.14632966549296,20.400810875,95.77845481220658
ETH-03,0.65,55.0502,290.5840812499999,100.18683125,810.7216141029179,0.001878732497060715,273.0,18.78125,17.909292883296253,12.512499999999996,12.642629715888022,20.02420746875,94.01036370305164,20.84748003125,97.8754931044601
ETH-03,0.675,55.04565,290.61966875,100.234396875,810.7212714039387,0.0018787280133272482,273.0,17.703225806451613,17.938677291898404,12.521875000000001,12.585285965888023,20.459199,96.05257746478874,21.18547193548387,99.46230955626231
ETH-03,0.7000000000000001,55.04949999999999,290.62856562499996,100.22011875,810.7215613800943,0.001878731807256202,273.0,17.603124999999995,17.901531458565074,12.728124999999997,12.545401893307377,20.847950903225808,97.87770377101319,21.670752593750002,101.74062250586856
ETH-03,0.7250000000000001,55.048800000000014,290.704075,100.25818437499998,810.7215086572351,0.0018787311174514457,273.0,18.328124999999996,17.877564724694103,12.556653225806448,12.51207528040415,21.303209413793105,100.01506767039017,22.1115829375,103.81024853286385
ETH-03,0.75,55.05714999999999,290.6351812499999,100.44846874999998,810.7221375633237,0.0018787393458213908,273.0,17.974999999999998,17.835439724694105,12.598084677419351,12.465054111049312,21.758052258064517,102.15048008480994,22.49402515625,105.605751907277
ETH-03,0.775,55.047850000000004,290.64544687500006,100.51030312499995,810.7214371047285,0.0018787301812875007,273.0,17.20322580645161,17.829969410456062,12.381249999999998,12.424429111049312,22.217950869565218,104.30962849561135,22.8939838125,107.48349207746479
ETH-03,0.8,55.0511,290.6413406249999,100.61732187499994,810.7216818893476,0.0018787333839518142,273.0,17.474999999999994,17.854666666666667,12.297708333333329,12.403269836855761,22.77804167857143,106.93916281019452,23.29394246875,109.36123224765258
ETH-03,0.8250000000000001,55.05259999999999,290.62058125,100.89081249999995,810.7217948666134,0.0018787348621029424,273.0,17.374999999999996,17.79492372311828,12.364717741935483,12.383204312662215,23.026546481481486,108.10585202573468,23.69682053125,111.2526785504695
ETH-03,0.8500000000000001,55.054100000000005,290.63130312499993,101.05490000000003,810.7219078437125,0.0018787363402529406,273.0,17.565625,17.733663642473118,12.488749999999996,12.37091264599555,23.45742921875,110.12877567488263,24.102618,113.1578309859155
ETH-03,0.875,55.043549999999996,290.613965625,101.15954062499998,810.7211132346862,0.0018787259439085899,273.0,17.643749999999997,17.672151545698924,12.025107758620688,12.354960025027804,23.85446846875,111.99280971244131,24.51425428125,115.09039568661973
ETH-03,0.9,55.04349999999998,290.66232812500004,100.664884375,810.7211094687456,0.0018787258946366637,273.0,17.619354838709675,17.591002352150536,12.153124999999996,12.354309823414903,24.22815246875,113.74719468896714,24.8791800625,116.80366226525823
ETH-03,0.925,55.047150000000016,290.65251874999996,99.66122187499998,810.7213843817906,0.0018787294914822574,273.0,17.409375,17.523814852150537,12.112499999999995,12.344631059974041,24.575561812500002,115.378224471831,25.23826703125,118.4895165786385
